2024-03-25 07:31:00 INFO: Item Converted | IEC/UL | EATON | Mag S/W | xtce007b10t | Country Unknown | ip None | None
2024-03-26 08:34:39 INFO: Item Converted | IEC | Schneider Electric | MCCB | C63H32D630 | Country Unknown | ip None | None
2024-03-26 08:35:08 INFO: Item Converted | IEC | Schneider Electric | MCCB | C16F3TM125 | Country Unknown | ip None | None
2024-03-26 08:35:42 INFO: Item Converted | IEC | Schneider Electric | MCCB | LV510300 | Country Unknown | ip None | None
2024-03-26 08:36:26 INFO: Item Converted | UL | ABB | MCCB | XT1HU3125AFF000XXX | Country Unknown | ip None | None
2024-03-26 08:37:04 INFO: Item Converted | UL | ABB | MCCB | XT4LU3040EFF000XXX | Country Unknown | ip None | None
2024-03-26 08:37:42 INFO: Item Not Converted | None | None | None | 3VA5112-4ED31-0AA0 | Country Unknown | ip None | None
2024-03-26 08:37:53 INFO: Item Converted | UL | ABB | MCCB | T5L600BW | Country Unknown | ip None | None
2024-03-26 08:38:14 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | LC1D18M7 | Country Unknown | ip None | None
2024-03-26 08:38:24 INFO: Item Not Converted | None | None | None | 963900188E | Country Unknown | ip None | None
2024-03-26 08:38:24 INFO: Item Not Converted | None | None | None | LC1G225KUEN | Country Unknown | ip None | None
2024-03-26 08:38:34 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | LC1DT32M7 | Country Unknown | ip None | None
2024-03-26 08:38:52 INFO: Item Not Converted | None | None | None | 000400119M | Country Unknown | ip None | None
2024-03-26 08:38:56 INFO: Item Converted | IEC/UL | EATON | Mag S/W | XTCE040DS1B | Country Unknown | ip None | None
2024-03-26 08:39:10 INFO: Item Not Converted | None | None | None | 0181000100 | Country Unknown | ip None | None
2024-03-26 08:39:15 INFO: Item Converted | IEC/UL | ABB | Mag S/W | AF146-30-22-13 | Country Unknown | ip None | None
2024-03-26 08:39:31 INFO: Item Not Converted | None | None | None | 72311176003 | Country Unknown | ip None | None
2024-03-26 08:39:33 INFO: Item Converted | IEC/UL | ABB | Mag S/W | AF265-30-22-13 | Country Unknown | ip None | None
2024-03-26 08:39:46 INFO: Item Converted | IEC/UL | SIEMENS | Mag S/W | 3RT2025-1BB40 | Country Unknown | ip None | None
2024-03-26 08:40:03 INFO: Item Not Converted | None | None | None | 02140093UL | Country Unknown | ip None | None
2024-03-26 08:40:15 INFO: Item Converted | UL | EATON | MCB | FAZ-C16/3 | Country Unknown | ip None | None
2024-03-26 08:40:17 INFO: Item Not Converted | None | None | None | 02154202UL | Country Unknown | ip None | None
2024-03-26 08:40:24 INFO: Item Converted | UL | EATON | MCB |  FAZ-B16/2 | Country Unknown | ip None | None
2024-03-26 08:40:26 INFO: Item Not Converted | None | None | None | UTS800 | Country Unknown | ip None | None
2024-03-26 08:40:32 INFO: Item Converted | UL | EATON | MCB | FAZ-B10/2-NA | Country Unknown | ip None | None
2024-03-26 08:40:54 INFO: Item Not Converted | None | None | None | 02070793UL | Country Unknown | ip None | None
2024-03-26 08:41:04 INFO: Item Converted | UL | EATON | MCB | FAZ-C16/3 | Country Unknown | ip None | None
2024-03-26 08:41:15 INFO: Item Converted | UL | EATON | MCB | FAZ-C63/1 | Country Unknown | ip None | None
2024-03-26 08:41:40 INFO: Item Converted | UL | ABB | MCB | S203-C6NA | Country Unknown | ip None | None
2024-03-26 08:41:54 INFO: Item Not Converted | None | None | None | eaton | Country Unknown | ip None | None
2024-03-26 08:41:55 INFO: Item Not Converted | None | None | None | 07810194 | Country Unknown | ip None | None
2024-03-26 08:42:03 INFO: Item Converted | IEC | Schneider Electric | MCB | A9F74320 | Country Unknown | ip None | None
2024-03-26 08:42:12 INFO: Item Converted | IEC | Schneider Electric | MCB | A9F84210 | Country Unknown | ip None | None
2024-03-26 08:42:19 INFO: Item Converted | IEC | Schneider Electric | MCB | A9F75116 | Country Unknown | ip None | None
2024-03-26 08:42:27 INFO: Item Converted | UL | Schneider Electric | MCB | M9F22320 | Country Unknown | ip None | None
2024-03-26 08:42:54 INFO: Item Converted | UL | Schneider Electric | MCB | M9F22225 | Country Unknown | ip None | None
2024-03-26 08:43:07 INFO: Item Converted | UL | Schneider Electric | MCB | M9F22104 | Country Unknown | ip None | None
2024-03-26 08:45:42 INFO: Item Converted | UL | Schneider Electric | ACB | NW20H1 | Country Unknown | ip None | None
2024-03-26 08:46:09 INFO: Item Converted | UL | Schneider Electric | ACB | NW20H2 | Country Unknown | ip None | None
2024-03-26 08:46:40 INFO: Item Converted | UL | Schneider Electric | ACB | NW16H2 | Country Unknown | ip None | None
2024-03-26 08:48:24 INFO: Item Not Converted | None | None | None | 3rt6025-1AC20 | Country Unknown | ip None | None
2024-03-26 08:48:39 INFO: Item Not Converted | None | None | None | 3rt6025 | Country Unknown | ip None | None
2024-03-26 08:49:15 INFO: Item Converted | IEC/UL | SIEMENS | Mag S/W | 3rt | Country Unknown | ip None | None
2024-03-26 08:49:16 INFO: Item Not Converted | None | None | None | NT16H2 | Country Unknown | ip None | None
2024-03-26 08:49:29 INFO: Item Converted | UL | Schneider Electric | ACB | NW63H1 | Country Unknown | ip None | None
2024-03-26 08:49:52 INFO: Item Converted | UL | Schneider Electric | ACB | NW60H | Country Unknown | ip None | None
2024-03-26 08:50:02 INFO: Item Converted | UL | Schneider Electric | ACB | NW16H1 | Country Unknown | ip None | None
2024-03-26 08:50:17 INFO: Item Not Converted | None | None | None | E2.2S-A | Country Unknown | ip None | None
2024-03-26 08:50:43 INFO: Item Converted | UL | ABB | ACB | 1SDA077330R1 | Country Unknown | ip None | None
2024-03-26 08:50:59 INFO: Item Converted | UL | ABB | ACB | 1SDA077270R1 | Country Unknown | ip None | None
2024-03-26 08:51:13 INFO: Item Converted | UL | ABB | ACB | 1SDA078020R1 | Country Unknown | ip None | None
2024-03-26 08:51:33 INFO: Item Converted | UL | ABB | ACB | 1SDA077930R1 | Country Unknown | ip None | None
2024-03-26 08:51:44 INFO: Item Converted | UL | ABB | ACB | 1SDA078840R1 | Country Unknown | ip None | None
2024-03-26 08:52:04 INFO: Item Converted | UL | ABB | ACB | 1SDA078900R1 | Country Unknown | ip None | None
2024-03-26 08:59:53 INFO: Item Not Converted | None | None | None | �� | Country Unknown | ip None | None
2024-03-26 09:00:03 INFO: Item Not Converted | None | None | None | cbi | Country Unknown | ip None | None
2024-03-26 09:00:12 INFO: Item Not Converted | None | None | None | computer | Country Unknown | ip None | None
2024-03-26 09:00:17 INFO: Item Not Converted | None | None | None | eaton | Country Unknown | ip None | None
2024-03-26 09:00:21 INFO: Item Not Converted | None | None | None | eaton | Country Unknown | ip None | None
2024-03-26 09:29:32 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | acb | Country Unknown | ip None | None
2024-03-26 09:37:17 INFO: Item Not Converted | None | None | None | FEMS | Country Unknown | ip None | None
2024-03-26 09:46:52 INFO: Item Not Converted | None | None | None | GIS | Country Unknown | ip None | None
2024-03-26 10:01:18 INFO: Item Not Converted | None | None | None | T7D | Country Unknown | ip None | None
2024-03-26 10:01:28 INFO: Item Not Converted | None | None | None | T7D | Country Unknown | ip None | None
2024-03-26 10:02:18 INFO: Item Not Converted | None | None | None | EMAX | Country Unknown | ip None | None
2024-03-26 10:02:54 INFO: Item Not Converted | None | None | None | EMAX2.0 | Country Unknown | ip None | None
2024-03-26 10:03:13 INFO: Item Not Converted | None | None | None | EMAX2.0 | Country Unknown | ip None | None
2024-03-26 10:03:16 INFO: Item Not Converted | None | None | None | EMAX | Country Unknown | ip None | None
2024-03-26 10:03:21 INFO: Item Not Converted | None | None | None | E-MAX | Country Unknown | ip None | None
2024-03-26 10:18:44 INFO: Item Converted | UL | EATON | MCCB | mccb | Country Unknown | ip None | None
2024-03-26 10:18:45 INFO: Item Converted | UL | EATON | MCCB | mccb | Country Unknown | ip None | None
2024-03-26 10:23:14 INFO: Item Converted | UL | Schneider Electric | MCCB | BJL36020 | Country Unknown | ip None | None
2024-03-26 10:24:44 INFO: Item Not Converted | None | None | None | 3RT60025 | Country Unknown | ip None | None
2024-03-26 10:24:46 INFO: Item Not Converted | None | None | None | 3RT6025 | Country Unknown | ip None | None
2024-03-26 11:14:30 INFO: Item Not Converted | None | None | None | NW60H1 | Country Unknown | ip None | None
2024-03-26 11:14:33 INFO: Item Converted | UL | Schneider Electric | ACB | NW63H1 | Country Unknown | ip None | None
2024-03-26 11:16:39 INFO: Item Not Converted | None | None | None | G100 | Country Unknown | ip None | None
2024-03-26 11:43:29 INFO: Item Not Converted | None | None | None | SIPROTEC5 | Country Unknown | ip None | None
2024-03-26 12:02:32 INFO: Item Not Converted | None | None | None | XEM-DN32HP | China | ip None | None
2024-03-26 12:09:22 INFO: Item Converted | UL | EATON | MCCB | T-300 | Country Unknown | ip None | None
2024-03-26 12:09:34 INFO: Item Converted | UL | EATON | MCCB | T300 | Country Unknown | ip None | None
2024-03-26 12:09:59 INFO: Item Not Converted | None | None | None | PM8340 | Country Unknown | ip None | None
2024-03-26 12:10:05 INFO: Item Not Converted | None | None | None | ION9000 | Country Unknown | ip None | None
2024-03-26 12:10:11 INFO: Item Not Converted | None | None | None | ION-000 | Country Unknown | ip None | None
2024-03-26 12:10:14 INFO: Item Not Converted | None | None | None | ION | Country Unknown | ip None | None
2024-03-26 12:17:41 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | LC1D09 | India | ip None | None
2024-03-26 14:07:54 INFO: Item Not Converted | None | None | None | 6SL3310-1TE33-8AA3 | South Korea | ip None | None
2024-03-26 14:08:12 INFO: Item Not Converted | None | None | None | Magnet Contactor | South Korea | ip None | None
2024-03-26 14:08:24 INFO: Item Not Converted | None | None | None | 3KW | South Korea | ip None | None
2024-03-26 14:15:30 INFO: Item Not Converted | None | None | None | acs880 | Country Unknown | ip None | None
2024-03-26 14:17:27 INFO: Item Not Converted | None | None | None | 2KVA, (360,380,400)/220V 50Hz | South Korea | ip None | None
2024-03-26 14:17:42 INFO: Item Not Converted | None | None | None | Control Relay | South Korea | ip None | None
2024-03-26 14:17:56 INFO: Item Not Converted | None | None | None | MY4N DC24V   Socket | South Korea | ip None | None
2024-03-26 14:26:39 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | ACB | Country Unknown | ip None | None
2024-03-26 14:29:11 INFO: Item Not Converted | None | None | None | 3VA1010-2ED32-0AA0 | Country Unknown | ip None | None
2024-03-26 14:29:44 INFO: Item Not Converted | None | None | None | Circuit breaker 3VA1 IEC Frame 100 Switching capacity class B Icu=16 kA @ 415 V 3-pole, system protection TM210, FTFM, In=100 A Overload protection Ir=100 A non-adjustable short-circuit protection Ii = 10 x In Lug terminal | Country Unknown | ip None | None
2024-03-26 14:30:06 INFO: Item Not Converted | None | None | None | 3VA Molded Case Circuit Breakers up to 1600 A, IEC | Country Unknown | ip None | None
2024-03-26 15:01:47 INFO: Item Converted | UL | Schneider Electric | MCCB | BGL36030 | Country Unknown | ip None | None
2024-03-26 15:45:00 INFO: Item Not Converted | None | None | None | ABB | Country Unknown | ip None | None
2024-03-26 15:55:22 INFO: Item Not Converted | None | None | None | switchgear | Country Unknown | ip None | None
2024-03-26 16:00:46 INFO: Item Not Converted | None | None | None | �������� | Country Unknown | ip None | None
2024-03-26 16:10:17 INFO: Item Not Converted | None | None | None | TECO JSDEP-50A3 | South Africa | ip None | None
2024-03-26 16:11:44 INFO: Item Not Converted | None | None | None | JSDEP-50A3 | South Africa | ip None | None
2024-03-26 16:12:42 INFO: Item Not Converted | None | None | None | 18800 | Spain | ip None | None
2024-03-26 16:13:25 INFO: Item Converted | IEC | Schneider Electric | MCCB | C25S3 | Spain | ip None | None
2024-03-26 16:57:51 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | LC1D09M7 | South Korea | ip None | None
2024-03-26 17:00:40 INFO: Item Not Converted | None | None | None | SIEMENS PLC S7 1200 | The Netherlands | ip None | None
2024-03-26 17:07:17 INFO: Item Not Converted | None | None | None | 19071 | Spain | ip None | None
2024-03-26 17:14:54 INFO: Item Not Converted | None | None | None | 3RT6023-1AP00 | South Korea | ip None | None
2024-03-26 17:15:00 INFO: Item Not Converted | None | None | None | 3RT6023 | South Korea | ip None | None
2024-03-26 17:15:31 INFO: Item Not Converted | None | None | None | AX09-30-10 | South Korea | ip None | None
2024-03-26 17:16:41 INFO: Item Not Converted | None | None | None | 1SBL901074Rzz10 | South Korea | ip None | None
2024-03-26 17:16:46 INFO: Item Not Converted | None | None | None | 1SBL901074R | South Korea | ip None | None
2024-03-26 17:17:14 INFO: Item Converted | IEC | Schneider Electric | MCCB | EZC100H2015 | South Korea | ip None | None
2024-03-26 17:17:43 INFO: Item Converted | IEC | Schneider Electric | MCCB | EZC100N3040 | South Korea | ip None | None
2024-03-26 17:18:22 INFO: Item Converted | IEC | Schneider Electric | MCB | A9F74416 | South Korea | ip None | None
2024-03-26 17:18:50 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | GV2ME06 | South Korea | ip None | None
2024-03-26 17:19:08 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | GV2P16 | South Korea | ip None | None
2024-03-26 17:20:36 INFO: Item Not Converted | None | None | None | MVS16H3MF2A | South Korea | ip None | None
2024-03-26 17:21:13 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | LRD03 | South Korea | ip None | None
2024-03-26 17:21:14 INFO: Item Not Converted | None | None | None | A9N15636 | Spain | ip None | None
2024-03-26 17:21:31 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | LC1D18M7 | South Korea | ip None | None
2024-03-26 17:22:01 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | acb | Country Unknown | ip None | None
2024-03-26 17:22:11 INFO: Item Converted | IEC | Schneider Electric | MCCB | C253TM250 | Spain | ip None | None
2024-03-26 17:23:14 INFO: Item Not Converted | None | None | None | siprotec | Country Unknown | ip None | None
2024-03-26 17:23:55 INFO: Item Not Converted | None | None | None | susol | Country Unknown | ip None | None
2024-03-26 17:24:01 INFO: Item Converted | UL | Schneider Electric | MCCB | BJL36020 | Country Unknown | ip None | None
2024-03-26 17:24:25 INFO: Item Converted | IEC | Schneider Electric | MCCB | C10N3TM100 | Country Unknown | ip None | None
2024-03-26 17:24:29 INFO: Item Not Converted | None | None | None | gipam | Country Unknown | ip None | None
2024-03-26 17:31:09 INFO: Item Converted | IEC | Schneider Electric | MCCB | C10N6TM100 | South Korea | ip None | None
2024-03-26 17:31:39 INFO: Item Converted | IEC | Schneider Electric | MCCB | LV540326 | South Korea | ip None | None
2024-03-26 17:32:44 INFO: Item Converted | IEC | Schneider Electric | MCCB | C253TM250 | Spain | ip None | None
2024-03-26 17:33:09 INFO: Item Not Converted | None | None | None | mc9a | South Korea | ip None | None
2024-03-26 17:33:19 INFO: Item Not Converted | None | None | None | LC1E0610M7 | South Korea | ip None | None
2024-03-26 17:33:40 INFO: Item Not Converted | None | None | None | mc-9a | South Korea | ip None | None
2024-03-26 17:33:48 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | GV2ME10 | South Korea | ip None | None
2024-03-26 17:34:11 INFO: Item Not Converted | None | None | None | A9F79206 | Spain | ip None | None
2024-03-26 17:34:15 INFO: Item Not Converted | None | None | None | ts-250h | South Korea | ip None | None
2024-03-26 17:35:35 INFO: Item Not Converted | None | None | None | TTX50 | Spain | ip None | None
2024-03-26 17:37:25 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | lc1d09m7 | South Korea | ip None | None
2024-03-26 17:38:47 INFO: Item Converted | IEC | Schneider Electric | MCCB | C25F3 | Spain | ip None | None
2024-03-26 17:46:22 INFO: Item Converted | IEC | Schneider Electric | MCCB | C25F4 | Spain | ip None | None
2024-03-26 17:49:38 INFO: Item Converted | IEC | Schneider Electric | MCB | A9F74202 | Spain | ip None | None
2024-03-26 17:53:06 INFO: Item Converted | IEC | Schneider Electric | MCB | A9F74204 | Spain | ip None | None
2024-03-26 17:58:36 INFO: Item Not Converted | None | None | None | 19071 | Spain | ip None | None
2024-03-26 18:01:44 INFO: Item Not Converted | None | None | None | 18614 | Spain | ip None | None
2024-03-26 18:03:04 INFO: Item Not Converted | None | None | None | 18612 | Spain | ip None | None
2024-03-26 18:11:13 INFO: Item Not Converted | None | None | None | JSDEP-50A3 | South Africa | ip None | None
2024-03-26 18:32:08 INFO: Item Not Converted | None | None | None | RM35UA13MW | Spain | ip None | None
2024-03-26 18:46:35 INFO: Item Not Converted | None | None | None | A9N15636 | Spain | ip None | None
2024-03-26 18:49:05 INFO: Item Converted | IEC | Schneider Electric | MCB | A9L15586 | Spain | ip None | None
2024-03-26 18:50:51 INFO: Item Converted | IEC | Schneider Electric | MCCB | LV429338T | Spain | ip None | None
2024-03-26 18:51:26 INFO: Item Converted | IEC | Schneider Electric | MCCB | LV429393 | Spain | ip None | None
2024-03-26 18:52:28 INFO: Item Not Converted | None | None | None | 29450 | Spain | ip None | None
2024-03-26 18:53:59 INFO: Item Not Converted | None | None | None | 18612 | Spain | ip None | None
2024-03-26 18:54:07 INFO: Item Not Converted | None | None | None | 29450 | Spain | ip None | None
2024-03-26 19:12:27 INFO: Item Converted | IEC | Schneider Electric | MCCB | C25F4 | Spain | ip None | None
2024-03-26 19:12:28 INFO: Item Converted | IEC | Schneider Electric | MCCB | C25F4 | Spain | ip None | None
2024-03-26 20:24:06 INFO: Item Not Converted | None | None | None | LD1F | South Korea | ip None | None
2024-03-26 20:24:17 INFO: Item Not Converted | None | None | None | Nv20 | South Korea | ip None | None
2024-03-26 20:24:20 INFO: Item Not Converted | None | None | None | Nv20s | South Korea | ip None | None
2024-03-26 20:24:24 INFO: Item Not Converted | None | None | None | mv20s | South Korea | ip None | None
2024-03-26 20:26:28 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | lc1d65 | South Korea | ip None | None
2024-03-26 20:27:57 INFO: Item Converted | UL | ABB | MCCB | xt1hu3015aff000xx | South Korea | ip None | None
2024-03-26 20:33:45 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | lc1d32b5 | South Korea | ip None | None
2024-03-26 20:34:03 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | lc1d32b5 | South Korea | ip None | None
2024-03-26 23:27:18 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | lc1d32b5 | South Korea | ip None | None
2024-03-26 23:27:19 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | lc1d32b5 | South Korea | ip None | None
2024-03-26 23:27:25 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | lc1d32b5 | South Korea | ip None | None
2024-03-27 05:51:15 INFO: Item Not Converted | None | None | None | PDG43K0800TFAN | United States | ip None | None
2024-03-27 05:51:31 INFO: Item Not Converted | None | None | None | PDG53K1200E2NN | United States | ip None | None
2024-03-27 06:22:21 INFO: Item Not Converted | None | None | None | XSUFBFAZZAAAA00000 | United States | ip None | None
2024-03-27 07:34:34 INFO: Item Converted | IEC | ABB | ACB | 1SDA071031R1 | Country Unknown | ip None | None
2024-03-27 08:06:06 INFO: Item Converted | UL | Schneider Electric | MCCB | NS250 | Country Unknown | ip None | None
2024-03-27 08:06:52 INFO: Item Converted | UL | Schneider Electric | MCCB | NS250 | Country Unknown | ip None | None
2024-03-27 08:10:50 INFO: Item Not Converted | None | None | None | 3RT6026 | Country Unknown | ip None | None
2024-03-27 08:11:07 INFO: Item Not Converted | None | None | None | 3RT60 | Country Unknown | ip None | None
2024-03-27 08:11:30 INFO: Item Not Converted | None | None | None | LR20 | Country Unknown | ip None | None
2024-03-27 08:11:37 INFO: Item Converted | IEC/UL | ABB | Mag S/W | MC | Country Unknown | ip None | None
2024-03-27 08:11:52 INFO: Item Not Converted | None | None | None | MT-32 | Country Unknown | ip None | None
2024-03-27 08:12:10 INFO: Item Converted | UL | EATON | MCCB | 123 | Country Unknown | ip None | None
2024-03-27 08:14:39 INFO: Item Not Converted | None | None | None | HGC85 | Country Unknown | ip None | None
2024-03-27 08:14:52 INFO: Item Not Converted | None | None | None | HGC | Country Unknown | ip None | None
2024-03-27 08:18:08 INFO: Item Converted | UL | EATON | MCCB | 1231 | Country Unknown | ip None | None
2024-03-27 08:18:30 INFO: Item Converted | UL | EATON | MCCB | 123 | Country Unknown | ip None | None
2024-03-27 08:21:12 INFO: Item Converted | IEC/UL | ABB | Mag S/W | mc | Country Unknown | ip None | None
2024-03-27 08:21:52 INFO: Item Converted | IEC/UL | ABB | Mag S/W | mc | Country Unknown | ip None | None
2024-03-27 08:24:19 INFO: Item Converted | IEC | ABB | ACB | 1 | Country Unknown | ip None | None
2024-03-27 08:24:59 INFO: Item Not Converted | IEC/UL | ABB | Mag S/W | 2 | Country Unknown | ip None | None
2024-03-27 08:25:15 INFO: Item Converted | IEC | SIEMENS | ACB | 3 | Country Unknown | ip None | None
2024-03-27 08:25:22 INFO: Item Not Converted | IEC/UL | ABB | Mag S/W | 5 | Country Unknown | ip None | None
2024-03-27 08:28:26 INFO: Item Converted | UL | EATON | MCCB | mccb | Country Unknown | ip None | None
2024-03-27 08:29:41 INFO: Item Converted | UL | EATON | MCCB | mccb | Country Unknown | ip None | None
2024-03-27 08:33:54 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | ACB | Country Unknown | ip None | None
2024-03-27 08:34:14 INFO: Item Not Converted | None | None | None | 40E | Country Unknown | ip None | None
2024-03-27 08:36:26 INFO: Item Not Converted | None | None | None | UL 1741 | Country Unknown | ip None | None
2024-03-27 08:40:35 INFO: Item Not Converted | None | None | None | 25ka | Country Unknown | ip None | None
2024-03-27 08:41:18 INFO: Item Not Converted | None | None | None | 103c | United States | ip None | None
2024-03-27 08:48:37 INFO: Item Not Converted | None | None | None | pd63 | Country Unknown | ip None | None
2024-03-27 08:48:43 INFO: Item Not Converted | None | None | None | pd63 | Country Unknown | ip None | None
2024-03-27 08:50:09 INFO: Item Not Converted | None | None | None | pdg63 | Country Unknown | ip None | None
2024-03-27 08:50:22 INFO: Item Converted | UL | EATON | MCCB | pdg13 | Country Unknown | ip None | None
2024-03-27 08:51:08 INFO: Item Not Converted | None | None | None | EH100 | South Korea | ip None | None
2024-03-27 08:58:30 INFO: Item Not Converted | None | None | None | ied | Country Unknown | ip None | None
2024-03-27 08:58:39 INFO: Item Not Converted | None | None | None | sepcos | Country Unknown | ip None | None
2024-03-27 09:00:26 INFO: Item Not Converted | None | None | None | ion9000 | Country Unknown | ip None | None
2024-03-27 09:00:35 INFO: Item Not Converted | None | None | None | ion | Country Unknown | ip None | None
2024-03-27 09:00:48 INFO: Item Not Converted | None | None | None | gipam | Country Unknown | ip None | None
2024-03-27 09:01:01 INFO: Item Not Converted | None | None | None | mas-2 | Country Unknown | ip None | None
2024-03-27 09:01:09 INFO: Item Not Converted | None | None | None | hscb | Country Unknown | ip None | None
2024-03-27 09:12:40 INFO: Item Converted | UL | EATON | MCCB | MCCB | Country Unknown | ip None | None
2024-03-27 09:20:07 INFO: Item Not Converted | None | None | None | switchgear | Country Unknown | ip None | None
2024-03-27 09:21:06 INFO: Item Not Converted | None | None | None | d173589 | South Korea | ip None | None
2024-03-27 09:25:55 INFO: Item Not Converted | None | None | None | acs880 | Country Unknown | ip None | None
2024-03-27 09:53:11 INFO: Item Not Converted | None | None | None | pm5560 | Country Unknown | ip None | None
2024-03-27 09:54:12 INFO: Item Not Converted | None | None | None | bolt | South Korea | ip None | None
2024-03-27 09:54:34 INFO: Item Not Converted | None | None | None | handle | South Korea | ip None | None
2024-03-27 10:06:57 INFO: Item Not Converted | None | None | None | Ņ | South Korea | ip None | None
2024-03-27 10:07:09 INFO: Item Converted | UL | EATON | MCCB | gmc | South Korea | ip None | None
2024-03-27 10:07:32 INFO: Item Not Converted | None | None | None | gmc-6m | South Korea | ip None | None
2024-03-27 10:08:25 INFO: Item Not Converted | None | None | None | 16m | South Korea | ip None | None
2024-03-27 11:02:21 INFO: Item Converted | IEC/UL | ABB | Mag S/W | mc | South Korea | ip None | None
2024-03-27 11:09:04 INFO: Item Not Converted | None | None | None | A9N15636 | Country Unknown | ip None | None
2024-03-27 11:09:13 INFO: Item Converted | IEC | Schneider Electric | MCB | A9L15586 | Country Unknown | ip None | None
2024-03-27 11:09:24 INFO: Item Converted | IEC | Schneider Electric | MCB | A9F74202 | Country Unknown | ip None | None
2024-03-27 11:09:34 INFO: Item Converted | IEC | Schneider Electric | MCCB | LV429338T | Country Unknown | ip None | None
2024-03-27 11:09:51 INFO: Item Converted | IEC | Schneider Electric | MCCB | C25F3 | Country Unknown | ip None | None
2024-03-27 11:16:12 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | lc1d | Country Unknown | ip None | None
2024-03-27 11:18:36 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | lc1d65m7 | Country Unknown | ip None | None
2024-03-27 11:20:00 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | lc1d65m7 | Country Unknown | ip None | None
2024-03-27 11:21:26 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | lc1d65m7 | Country Unknown | ip None | None
2024-03-27 11:21:34 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | lc1d65am7 | Country Unknown | ip None | None
2024-03-27 11:21:41 INFO: Item Not Converted | None | None | None | ac drive | Country Unknown | ip None | None
2024-03-27 11:21:46 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | acb | Country Unknown | ip None | None
2024-03-27 11:46:37 INFO: Item Not Converted | None | None | None | mesg | Country Unknown | ip None | None
2024-03-27 11:46:44 INFO: Item Not Converted | None | None | None | ������ | Country Unknown | ip None | None
2024-03-27 11:47:03 INFO: Item Not Converted | None | None | None | ���� | Country Unknown | ip None | None
2024-03-27 11:47:06 INFO: Item Not Converted | None | None | None | gsm | Country Unknown | ip None | None
2024-03-27 12:03:33 INFO: Item Converted | UL | EATON | MCCB | MCCB | Country Unknown | ip None | None
2024-03-27 12:03:47 INFO: Item Not Converted | None | None | None | DRIVE | Country Unknown | ip None | None
2024-03-27 12:03:54 INFO: Item Converted | IEC/UL | ABB | Mag S/W | MC | Country Unknown | ip None | None
2024-03-27 12:30:37 INFO: Item Not Converted | None | None | None | gtk | Australia | ip None | None
2024-03-27 12:42:37 INFO: Item Converted | UL | Schneider Electric | MCCB | S-N400 | Country Unknown | ip None | None
2024-03-27 12:43:28 INFO: Item Not Converted | None | None | None | S-N65 | Country Unknown | ip None | None
2024-03-27 12:59:33 INFO: Item Not Converted | None | None | None | masterpact | Country Unknown | ip None | None
2024-03-27 12:59:44 INFO: Item Not Converted | None | None | None | abb | Country Unknown | ip None | None
2024-03-27 13:18:58 INFO: Item Not Converted | None | None | None | hgs16s | South Korea | ip None | None
2024-03-27 13:19:27 INFO: Item Not Converted | None | None | None | HGS20B4BM1C1S1000ABA5 | South Korea | ip None | None
2024-03-27 13:19:42 INFO: Item Not Converted | None | None | None | HGS20B4BM1C1S161 | South Korea | ip None | None
2024-03-27 13:19:49 INFO: Item Not Converted | None | None | None | HGS20B4AM1C1S161 | South Korea | ip None | None
2024-03-27 13:20:13 INFO: Item Not Converted | None | None | None | VBS404n 400a | South Korea | ip None | None
2024-03-27 13:20:21 INFO: Item Not Converted | None | None | None | hgm403c 400a | South Korea | ip None | None
2024-03-27 13:37:48 INFO: Item Not Converted | None | None | None | LVPED216026EN | South Korea | ip None | None
2024-03-27 13:37:53 INFO: Item Not Converted | None | None | None | 84053173001 | South Korea | ip None | None
2024-03-27 13:38:38 INFO: Item Not Converted | None | None | None | 02140323AD | South Korea | ip None | None
2024-03-27 13:54:29 INFO: Item Not Converted | None | None | None | AE1000 | Country Unknown | ip None | None
